policy,K,rep_seed,episode_id,success,steps,questions_asked
ask_or_act,3,0,0,True,7,1
ask_or_act,3,0,1,True,3,1
ask_or_act,3,0,2,True,8,0
ask_or_act,3,0,3,True,8,0
ask_or_act,3,0,4,True,8,1
ask_or_act,3,0,5,True,9,1
ask_or_act,3,0,6,True,5,0
ask_or_act,3,0,7,True,9,0
ask_or_act,3,0,8,False,14,2
ask_or_act,3,0,9,True,4,1
ask_or_act,3,0,10,True,14,2
ask_or_act,3,0,11,True,10,0
ask_or_act,3,0,12,True,3,1
ask_or_act,3,0,13,True,9,1
ask_or_act,3,0,14,True,5,2
ask_or_act,3,0,15,True,6,0
ask_or_act,3,0,16,True,11,1
ask_or_act,3,0,17,True,12,0
ask_or_act,3,0,18,True,5,0
ask_or_act,3,0,19,True,8,0
ask_or_act,3,1,0,True,9,0
ask_or_act,3,1,1,True,8,1
ask_or_act,3,1,2,True,4,1
ask_or_act,3,1,3,True,7,1
ask_or_act,3,1,4,True,10,1
ask_or_act,3,1,5,True,6,1
ask_or_act,3,1,6,True,11,1
ask_or_act,3,1,7,True,12,0
ask_or_act,3,1,8,True,11,1
ask_or_act,3,1,9,True,11,1
ask_or_act,3,1,10,True,14,1
ask_or_act,3,1,11,True,10,1
ask_or_act,3,1,12,True,9,0
ask_or_act,3,1,13,False,8,1
ask_or_act,3,1,14,True,12,1
ask_or_act,3,1,15,True,4,1
ask_or_act,3,1,16,True,5,0
ask_or_act,3,1,17,True,7,1
ask_or_act,3,1,18,True,4,1
ask_or_act,3,1,19,True,9,1
ask_or_act,3,2,0,True,5,1
ask_or_act,3,2,1,True,10,1
ask_or_act,3,2,2,True,6,1
ask_or_act,3,2,3,True,4,1
ask_or_act,3,2,4,True,7,0
ask_or_act,3,2,5,True,12,0
ask_or_act,3,2,6,True,6,2
ask_or_act,3,2,7,True,7,1
ask_or_act,3,2,8,False,10,1
ask_or_act,3,2,9,True,7,1
ask_or_act,3,2,10,True,7,1
ask_or_act,3,2,11,True,12,0
ask_or_act,3,2,12,True,10,1
ask_or_act,3,2,13,True,12,0
ask_or_act,3,2,14,True,8,1
ask_or_act,3,2,15,True,9,0
ask_or_act,3,2,16,True,6,0
ask_or_act,3,2,17,True,8,1
ask_or_act,3,2,18,True,7,0
ask_or_act,3,2,19,True,11,0
ask_or_act,3,3,0,False,14,1
ask_or_act,3,3,1,True,9,0
ask_or_act,3,3,2,True,9,1
ask_or_act,3,3,3,True,3,0
ask_or_act,3,3,4,True,4,0
ask_or_act,3,3,5,True,4,1
ask_or_act,3,3,6,True,3,0
ask_or_act,3,3,7,True,6,1
ask_or_act,3,3,8,True,8,1
ask_or_act,3,3,9,False,8,1
ask_or_act,3,3,10,True,6,1
ask_or_act,3,3,11,True,7,1
ask_or_act,3,3,12,True,3,0
ask_or_act,3,3,13,True,8,0
ask_or_act,3,3,14,False,8,1
ask_or_act,3,3,15,False,15,1
ask_or_act,3,3,16,False,12,2
ask_or_act,3,3,17,True,6,0
ask_or_act,3,3,18,True,11,1
ask_or_act,3,3,19,True,10,0
ask_or_act,3,4,0,True,4,1
ask_or_act,3,4,1,False,11,1
ask_or_act,3,4,2,True,3,1
ask_or_act,3,4,3,True,11,1
ask_or_act,3,4,4,True,2,0
ask_or_act,3,4,5,True,10,0
ask_or_act,3,4,6,True,7,0
ask_or_act,3,4,7,True,10,0
ask_or_act,3,4,8,True,8,0
ask_or_act,3,4,9,True,4,1
ask_or_act,3,4,10,True,5,1
ask_or_act,3,4,11,True,5,0
ask_or_act,3,4,12,True,6,0
ask_or_act,3,4,13,True,6,0
ask_or_act,3,4,14,True,13,0
ask_or_act,3,4,15,False,9,1
ask_or_act,3,4,16,True,8,1
ask_or_act,3,4,17,True,11,0
ask_or_act,3,4,18,False,9,0
ask_or_act,3,4,19,True,8,1
never_ask,3,0,0,True,6,0
never_ask,3,0,1,True,6,0
never_ask,3,0,2,True,8,0
never_ask,3,0,3,True,8,0
never_ask,3,0,4,True,9,0
never_ask,3,0,5,True,11,0
never_ask,3,0,6,True,5,0
never_ask,3,0,7,True,9,0
never_ask,3,0,8,False,14,0
never_ask,3,0,9,True,3,0
never_ask,3,0,10,True,12,0
never_ask,3,0,11,True,10,0
never_ask,3,0,12,True,6,0
never_ask,3,0,13,True,6,0
never_ask,3,0,14,True,5,0
never_ask,3,0,15,True,6,0
never_ask,3,0,16,True,9,0
never_ask,3,0,17,True,12,0
never_ask,3,0,18,True,5,0
never_ask,3,0,19,True,8,0
never_ask,3,1,0,True,9,0
never_ask,3,1,1,False,11,0
never_ask,3,1,2,True,3,0
never_ask,3,1,3,True,6,0
never_ask,3,1,4,True,7,0
never_ask,3,1,5,True,5,0
never_ask,3,1,6,True,13,0
never_ask,3,1,7,True,12,0
never_ask,3,1,8,True,10,0
never_ask,3,1,9,True,12,0
never_ask,3,1,10,True,13,0
never_ask,3,1,11,True,9,0
never_ask,3,1,12,True,9,0
never_ask,3,1,13,False,8,0
never_ask,3,1,14,True,12,0
never_ask,3,1,15,True,6,0
never_ask,3,1,16,True,5,0
never_ask,3,1,17,True,4,0
never_ask,3,1,18,True,5,0
never_ask,3,1,19,True,8,0
never_ask,3,2,0,True,4,0
never_ask,3,2,1,True,11,0
never_ask,3,2,2,True,7,0
never_ask,3,2,3,True,3,0
never_ask,3,2,4,True,7,0
never_ask,3,2,5,True,12,0
never_ask,3,2,6,True,4,0
never_ask,3,2,7,True,6,0
never_ask,3,2,8,True,8,0
never_ask,3,2,9,True,6,0
never_ask,3,2,10,True,6,0
never_ask,3,2,11,True,12,0
never_ask,3,2,12,True,13,0
never_ask,3,2,13,True,12,0
never_ask,3,2,14,False,10,0
never_ask,3,2,15,True,9,0
never_ask,3,2,16,True,6,0
never_ask,3,2,17,True,11,0
never_ask,3,2,18,True,7,0
never_ask,3,2,19,True,11,0
never_ask,3,3,0,False,14,0
never_ask,3,3,1,True,9,0
never_ask,3,3,2,True,8,0
never_ask,3,3,3,True,3,0
never_ask,3,3,4,True,4,0
never_ask,3,3,5,True,5,0
never_ask,3,3,6,True,3,0
never_ask,3,3,7,True,5,0
never_ask,3,3,8,True,9,0
never_ask,3,3,9,True,3,0
never_ask,3,3,10,True,7,0
never_ask,3,3,11,True,10,0
never_ask,3,3,12,True,3,0
never_ask,3,3,13,True,8,0
never_ask,3,3,14,False,8,0
never_ask,3,3,15,False,15,0
never_ask,3,3,16,False,12,0
never_ask,3,3,17,True,6,0
never_ask,3,3,18,True,10,0
never_ask,3,3,19,True,10,0
never_ask,3,4,0,True,5,0
never_ask,3,4,1,True,9,0
never_ask,3,4,2,True,4,0
never_ask,3,4,3,True,10,0
never_ask,3,4,4,True,2,0
never_ask,3,4,5,True,10,0
never_ask,3,4,6,True,7,0
never_ask,3,4,7,True,10,0
never_ask,3,4,8,True,8,0
never_ask,3,4,9,True,5,0
never_ask,3,4,10,True,4,0
never_ask,3,4,11,True,5,0
never_ask,3,4,12,True,6,0
never_ask,3,4,13,True,6,0
never_ask,3,4,14,True,13,0
never_ask,3,4,15,True,9,0
never_ask,3,4,16,True,7,0
never_ask,3,4,17,True,11,0
never_ask,3,4,18,False,9,0
never_ask,3,4,19,True,9,0
always_ask,3,0,0,True,9,3
always_ask,3,0,1,True,5,3
always_ask,3,0,2,True,11,3
always_ask,3,0,3,True,11,3
always_ask,3,0,4,True,8,1
always_ask,3,0,5,True,9,1
always_ask,3,0,6,True,10,3
always_ask,3,0,7,True,10,3
always_ask,3,0,8,True,13,3
always_ask,3,0,9,True,6,3
always_ask,3,0,10,True,13,3
always_ask,3,0,11,True,11,2
always_ask,3,0,12,True,3,1
always_ask,3,0,13,True,7,3
always_ask,3,0,14,True,6,3
always_ask,3,0,15,True,9,3
always_ask,3,0,16,True,14,3
always_ask,3,0,17,True,15,3
always_ask,3,0,18,True,8,3
always_ask,3,0,19,True,11,3
always_ask,3,1,0,True,12,3
always_ask,3,1,1,True,10,3
always_ask,3,1,2,True,6,3
always_ask,3,1,3,True,9,3
always_ask,3,1,4,True,10,3
always_ask,3,1,5,True,8,3
always_ask,3,1,6,True,13,3
always_ask,3,1,7,False,16,3
always_ask,3,1,8,True,11,1
always_ask,3,1,9,True,13,3
always_ask,3,1,10,False,17,3
always_ask,3,1,11,True,9,3
always_ask,3,1,12,True,11,2
always_ask,3,1,13,False,8,3
always_ask,3,1,14,False,13,3
always_ask,3,1,15,True,4,1
always_ask,3,1,16,True,8,3
always_ask,3,1,17,True,7,3
always_ask,3,1,18,True,4,1
always_ask,3,1,19,True,9,1
always_ask,3,2,0,True,7,3
always_ask,3,2,1,True,12,3
always_ask,3,2,2,True,8,3
always_ask,3,2,3,True,6,3
always_ask,3,2,4,False,11,3
always_ask,3,2,5,True,15,3
always_ask,3,2,6,False,9,3
always_ask,3,2,7,True,9,3
always_ask,3,2,8,False,10,3
always_ask,3,2,9,True,9,3
always_ask,3,2,10,False,11,3
always_ask,3,2,11,True,13,1
always_ask,3,2,12,True,10,1
always_ask,3,2,13,True,15,3
always_ask,3,2,14,True,8,3
always_ask,3,2,15,True,12,3
always_ask,3,2,16,True,9,3
always_ask,3,2,17,True,10,3
always_ask,3,2,18,True,8,3
always_ask,3,2,19,True,14,3
always_ask,3,3,0,False,14,3
always_ask,3,3,1,True,12,3
always_ask,3,3,2,True,11,3
always_ask,3,3,3,True,6,3
always_ask,3,3,4,True,7,3
always_ask,3,3,5,True,8,3
always_ask,3,3,6,True,6,3
always_ask,3,3,7,True,6,1
always_ask,3,3,8,True,10,3
always_ask,3,3,9,False,8,3
always_ask,3,3,10,True,8,3
always_ask,3,3,11,True,10,3
always_ask,3,3,12,True,6,3
always_ask,3,3,13,True,11,3
always_ask,3,3,14,False,8,3
always_ask,3,3,15,False,15,3
always_ask,3,3,16,True,10,3
always_ask,3,3,17,True,9,3
always_ask,3,3,18,True,11,3
always_ask,3,3,19,True,11,1
always_ask,3,4,0,True,6,3
always_ask,3,4,1,True,10,3
always_ask,3,4,2,True,5,3
always_ask,3,4,3,True,9,3
always_ask,3,4,4,True,5,3
always_ask,3,4,5,True,13,3
always_ask,3,4,6,True,10,3
always_ask,3,4,7,True,13,3
always_ask,3,4,8,True,11,3
always_ask,3,4,9,True,6,3
always_ask,3,4,10,True,5,3
always_ask,3,4,11,True,6,3
always_ask,3,4,12,True,7,3
always_ask,3,4,13,True,7,3
always_ask,3,4,14,True,16,3
always_ask,3,4,15,True,7,3
always_ask,3,4,16,True,10,3
always_ask,3,4,17,True,14,3
always_ask,3,4,18,True,7,3
always_ask,3,4,19,False,12,3
info_gain_ask,3,0,0,True,6,2
info_gain_ask,3,0,1,True,4,2
info_gain_ask,3,0,2,True,10,2
info_gain_ask,3,0,3,True,9,1
info_gain_ask,3,0,4,True,8,1
info_gain_ask,3,0,5,True,9,1
info_gain_ask,3,0,6,True,6,1
info_gain_ask,3,0,7,True,8,1
info_gain_ask,3,0,8,True,12,2
info_gain_ask,3,0,9,True,5,2
info_gain_ask,3,0,10,True,14,2
info_gain_ask,3,0,11,True,10,1
info_gain_ask,3,0,12,True,3,1
info_gain_ask,3,0,13,True,9,1
info_gain_ask,3,0,14,True,5,2
info_gain_ask,3,0,15,False,9,1
info_gain_ask,3,0,16,True,11,1
info_gain_ask,3,0,17,True,14,2
info_gain_ask,3,0,18,True,6,1
info_gain_ask,3,0,19,True,12,2
info_gain_ask,3,1,0,True,11,2
info_gain_ask,3,1,1,True,9,2
info_gain_ask,3,1,2,True,5,2
info_gain_ask,3,1,3,True,8,2
info_gain_ask,3,1,4,True,9,2
info_gain_ask,3,1,5,True,7,2
info_gain_ask,3,1,6,True,11,1
info_gain_ask,3,1,7,True,13,1
info_gain_ask,3,1,8,True,11,1
info_gain_ask,3,1,9,True,12,2
info_gain_ask,3,1,10,True,14,1
info_gain_ask,3,1,11,True,8,2
info_gain_ask,3,1,12,True,10,1
info_gain_ask,3,1,13,False,8,2
info_gain_ask,3,1,14,True,12,1
info_gain_ask,3,1,15,True,4,1
info_gain_ask,3,1,16,True,6,1
info_gain_ask,3,1,17,True,7,1
info_gain_ask,3,1,18,True,4,1
info_gain_ask,3,1,19,True,9,1
info_gain_ask,3,2,0,True,6,2
info_gain_ask,3,2,1,True,11,2
info_gain_ask,3,2,2,True,6,1
info_gain_ask,3,2,3,True,4,1
info_gain_ask,3,2,4,True,9,2
info_gain_ask,3,2,5,True,14,2
info_gain_ask,3,2,6,True,6,2
info_gain_ask,3,2,7,True,8,2
info_gain_ask,3,2,8,True,10,2
info_gain_ask,3,2,9,True,8,2
info_gain_ask,3,2,10,True,11,1
info_gain_ask,3,2,11,True,13,1
info_gain_ask,3,2,12,True,10,1
info_gain_ask,3,2,13,True,13,1
info_gain_ask,3,2,14,True,6,1
info_gain_ask,3,2,15,True,11,2
info_gain_ask,3,2,16,True,8,2
info_gain_ask,3,2,17,True,9,2
info_gain_ask,3,2,18,True,6,1
info_gain_ask,3,2,19,True,12,1
info_gain_ask,3,3,0,True,13,1
info_gain_ask,3,3,1,True,11,2
info_gain_ask,3,3,2,True,9,1
info_gain_ask,3,3,3,True,4,1
info_gain_ask,3,3,4,True,5,1
info_gain_ask,3,3,5,True,4,1
info_gain_ask,3,3,6,True,4,1
info_gain_ask,3,3,7,True,6,1
info_gain_ask,3,3,8,True,9,2
info_gain_ask,3,3,9,False,8,1
info_gain_ask,3,3,10,True,7,2
info_gain_ask,3,3,11,True,9,2
info_gain_ask,3,3,12,True,5,2
info_gain_ask,3,3,13,True,9,2
info_gain_ask,3,3,14,False,8,1
info_gain_ask,3,3,15,False,15,2
info_gain_ask,3,3,16,False,12,2
info_gain_ask,3,3,17,True,7,1
info_gain_ask,3,3,18,True,10,2
info_gain_ask,3,3,19,True,11,1
info_gain_ask,3,4,0,True,5,2
info_gain_ask,3,4,1,True,9,2
info_gain_ask,3,4,2,True,3,1
info_gain_ask,3,4,3,True,8,2
info_gain_ask,3,4,4,True,3,1
info_gain_ask,3,4,5,True,12,2
info_gain_ask,3,4,6,True,8,1
info_gain_ask,3,4,7,True,11,1
info_gain_ask,3,4,8,True,9,1
info_gain_ask,3,4,9,True,5,2
info_gain_ask,3,4,10,True,4,2
info_gain_ask,3,4,11,True,5,2
info_gain_ask,3,4,12,True,5,1
info_gain_ask,3,4,13,True,5,1
info_gain_ask,3,4,14,True,15,2
info_gain_ask,3,4,15,True,6,2
info_gain_ask,3,4,16,True,8,1
info_gain_ask,3,4,17,True,12,1
info_gain_ask,3,4,18,True,5,1
info_gain_ask,3,4,19,False,12,2
random_ask,3,0,0,True,7,3
random_ask,3,0,1,True,5,3
random_ask,3,0,2,True,10,2
random_ask,3,0,3,False,12,1
random_ask,3,0,4,True,8,1
random_ask,3,0,5,True,9,1
random_ask,3,0,6,True,7,2
random_ask,3,0,7,True,10,1
random_ask,3,0,8,True,13,3
random_ask,3,0,9,True,6,3
random_ask,3,0,10,False,14,2
random_ask,3,0,11,True,10,1
random_ask,3,0,12,True,4,2
random_ask,3,0,13,True,8,2
random_ask,3,0,14,True,8,3
random_ask,3,0,15,True,9,3
random_ask,3,0,16,True,11,1
random_ask,3,0,17,True,15,3
random_ask,3,0,18,True,6,1
random_ask,3,0,19,True,11,3
random_ask,3,1,0,True,12,3
random_ask,3,1,1,True,10,3
random_ask,3,1,2,True,6,3
random_ask,3,1,3,True,9,3
random_ask,3,1,4,True,10,3
random_ask,3,1,5,True,7,2
random_ask,3,1,6,True,11,1
random_ask,3,1,7,True,13,1
random_ask,3,1,8,True,11,1
random_ask,3,1,9,True,13,3
random_ask,3,1,10,False,17,3
random_ask,3,1,11,True,8,2
random_ask,3,1,12,True,12,3
random_ask,3,1,13,True,6,3
random_ask,3,1,14,False,13,3
random_ask,3,1,15,True,6,3
random_ask,3,1,16,True,6,1
random_ask,3,1,17,True,8,2
random_ask,3,1,18,True,4,1
random_ask,3,1,19,True,10,2
random_ask,3,2,0,True,7,3
random_ask,3,2,1,True,12,3
random_ask,3,2,2,True,6,1
random_ask,3,2,3,True,4,1
random_ask,3,2,4,True,10,3
random_ask,3,2,5,True,15,3
random_ask,3,2,6,False,9,3
random_ask,3,2,7,True,9,3
random_ask,3,2,8,True,9,3
random_ask,3,2,9,True,8,2
random_ask,3,2,10,False,11,3
random_ask,3,2,11,True,14,2
random_ask,3,2,12,False,13,2
random_ask,3,2,13,True,14,2
random_ask,3,2,14,True,7,2
random_ask,3,2,15,True,12,3
random_ask,3,2,16,True,9,3
random_ask,3,2,17,True,10,3
random_ask,3,2,18,True,6,1
random_ask,3,2,19,True,12,1
random_ask,3,3,0,False,14,1
random_ask,3,3,1,True,12,3
random_ask,3,3,2,True,11,3
random_ask,3,3,3,True,5,2
random_ask,3,3,4,True,5,1
random_ask,3,3,5,True,5,2
random_ask,3,3,6,True,6,3
random_ask,3,3,7,True,8,3
random_ask,3,3,8,True,10,3
random_ask,3,3,9,True,6,3
random_ask,3,3,10,True,9,2
random_ask,3,3,11,True,9,2
random_ask,3,3,12,True,6,3
random_ask,3,3,13,True,9,2
random_ask,3,3,14,False,8,1
random_ask,3,3,15,True,14,3
random_ask,3,3,16,True,9,2
random_ask,3,3,17,True,8,2
random_ask,3,3,18,True,9,1
random_ask,3,3,19,True,11,1
random_ask,3,4,0,True,5,2
random_ask,3,4,1,True,10,3
random_ask,3,4,2,True,3,1
random_ask,3,4,3,True,9,3
random_ask,3,4,4,True,3,1
random_ask,3,4,5,True,13,3
random_ask,3,4,6,True,10,3
random_ask,3,4,7,True,11,1
random_ask,3,4,8,True,9,1
random_ask,3,4,9,True,6,3
random_ask,3,4,10,True,5,3
random_ask,3,4,11,True,5,2
random_ask,3,4,12,True,5,1
random_ask,3,4,13,True,6,2
random_ask,3,4,14,True,16,3
random_ask,3,4,15,False,9,3
random_ask,3,4,16,True,10,3
random_ask,3,4,17,True,13,2
random_ask,3,4,18,True,6,2
random_ask,3,4,19,True,10,3
